,SRR,BioSample,sex
0,SRR15979786,SAMN21461933,female
1,SRR15979787,SAMN21461932,female
2,SRR15979789,SAMN21461930,female
3,SRR15979790,SAMN21461849,female
4,SRR15979791,SAMN21461929,female
5,SRR15979792,SAMN21461928,male
6,SRR15979794,SAMN21461926,female
7,SRR15979795,SAMN21461925,female
8,SRR15979796,SAMN21461924,female
9,SRR15979797,SAMN21461923,female
10,SRR15979800,SAMN21461920,female
11,SRR15979801,SAMN21461848,female
12,SRR15979802,SAMN21461919,female
13,SRR15979803,SAMN21461918,female
14,SRR15979804,SAMN21461917,female
15,SRR15979805,SAMN21461850,female
16,SRR15979806,SAMN21461841,female
17,SRR15979807,SAMN21461840,female
18,SRR15979808,SAMN21461916,female
19,SRR15979809,SAMN21461915,female
20,SRR15979810,SAMN21461914,female
21,SRR15979811,SAMN21461913,female
22,SRR15979812,SAMN21461912,female
23,SRR15979813,SAMN21461911,female
24,SRR15979814,SAMN21461910,female
25,SRR15979815,SAMN21461847,female
26,SRR15979816,SAMN21461909,female
27,SRR15979817,SAMN21461908,female
28,SRR15979818,SAMN21461907,female
29,SRR15979819,SAMN21461906,female
30,SRR15979820,SAMN21461905,female
31,SRR15979821,SAMN21461904,female
32,SRR15979822,SAMN21461903,female
33,SRR15979823,SAMN21461902,female
34,SRR15979824,SAMN21461901,female
35,SRR15979825,SAMN21461900,female
36,SRR15979826,SAMN21461846,female
37,SRR15979827,SAMN21461899,female
38,SRR15979828,SAMN21461898,female
39,SRR15979829,SAMN21461897,female
40,SRR15979830,SAMN21461896,female
41,SRR15979831,SAMN21461895,female
42,SRR15979832,SAMN21461894,female
43,SRR15979833,SAMN21461893,female
44,SRR15979834,SAMN21461892,female
45,SRR15979835,SAMN21461891,female
46,SRR15979836,SAMN21461890,female
47,SRR15979837,SAMN21461845,female
48,SRR15979838,SAMN21461889,female
49,SRR15979839,SAMN21461888,female
50,SRR15979842,SAMN21461885,female
51,SRR15979844,SAMN21461883,female
52,SRR15979845,SAMN21461882,female
53,SRR15979846,SAMN21461881,female
54,SRR15979847,SAMN21461880,female
55,SRR15979848,SAMN21461844,female
56,SRR15979850,SAMN21461878,female
57,SRR15979851,SAMN21461877,female
58,SRR15979852,SAMN21461876,female
59,SRR15979853,SAMN21461875,female
60,SRR15979854,SAMN21461874,female
61,SRR15979855,SAMN21461873,female
62,SRR15979857,SAMN21461871,female
63,SRR15979858,SAMN21461870,female
64,SRR15979859,SAMN21461843,female
65,SRR15979860,SAMN21461869,female
66,SRR15979861,SAMN21461868,female
67,SRR15979862,SAMN21461867,female
68,SRR15979863,SAMN21461866,female
69,SRR15979864,SAMN21461865,female
70,SRR15979865,SAMN21461864,female
71,SRR15979866,SAMN21461863,female
72,SRR15979867,SAMN21461862,female
73,SRR15979868,SAMN21461861,female
74,SRR15979869,SAMN21461860,female
75,SRR15979870,SAMN21461842,female
76,SRR15979871,SAMN21461859,female
77,SRR15979872,SAMN21461858,female
78,SRR15979873,SAMN21461857,female
79,SRR15979874,SAMN21461856,female
80,SRR15979875,SAMN21461855,female
81,SRR15979876,SAMN21461854,female
82,SRR15979877,SAMN21461853,female
83,SRR15979878,SAMN21461852,female
84,SRR15979879,SAMN21461851,female
85,SRR15845610,SAMN13065833,female
86,SRR15845621,SAMN13065832,male
87,SRR15845632,SAMN13065831,male
88,SRR15845271,SAMN13065830,male
89,SRR15845282,SAMN13065829,female
90,SRR15845293,SAMN13065828,female
91,SRR15845377,SAMN13065827,female
92,SRR15845476,SAMN13065845,male
93,SRR15845487,SAMN13065844,female
94,SRR15845488,SAMN13065826,female
95,SRR15845499,SAMN13065843,female
96,SRR15845510,SAMN13065842,female
97,SRR15845521,SAMN13065841,female
98,SRR15845526,SAMN13065834,female
99,SRR15845527,SAMN13065825,male
100,SRR15845528,SAMN13065824,male
101,SRR15845536,SAMN13065840,female
102,SRR15845547,SAMN13065839,male
103,SRR15845558,SAMN13065838,female
104,SRR15845569,SAMN13065837,female
105,SRR15845580,SAMN13065836,female
106,SRR15845591,SAMN13065835,female
