species,colonysize,nqueen,occupiedcountries,flightperiod,karyotype
argentea,-,monogynous,2-5,7-8,-
lemani,from few hundreds to few thousands,monogynous/polygynous,26-50,6-7-8-9,27
aserva,-,-,2-5,6-7,-
truncorum,-,polygynous,26-50,6-7-8,28/26
subpolita,-,-,2-5,6,-
subaenescens,-,polygynous,2-5,8,-
sibylla,-,-,1,-,-
rufibarbis, new nests started by single queens alone, mature colonies are separate but may contain 2 or 3 queens with up to 500 or more workers,26-50,6-7-8,27
rubicunda,-,(monogynous?),2-5,7,-
neoclara,-,may be polygynous,2-5,-,-
integroides,-,-,2-5,4,-
incerta,-,polygynous,1,7-8,-
gnava,-,-,2-5,-,-
glacialis,-,-,2-5,7-8,-
exsecta,~25000,monogynous/polygynous,26-50,6-7-8,26
dakotensis,-,-,2-5,-,26
cinerea,-,polygynous,26-50,6-7-8,27
polyergus vinosus
polyergus mexicanus
iberoformica subrufa
xerophila,-,-,2-5,-,-
wheeleri,-,-,2-5,-,-
uralensis,-,polygynous,11-25,6-7-8,26
ulkei,-,polygynous,2-5,7-8,26
transmontanis,-,-,2-5,10-11,-
tombeuri,-,-,-,-,-
subsericea,-,polygynous,1,4-5-6-7-8,-
subnitens,-,-,2-5,-,-
selysi,-,-,6-10,6-7-8-9,-
sanguinea,-,polygynous,50+,5-6-7-8,26
rufa,4000000,facultatively polygynous,26-50,5-6,26
reflexa,-,-,2-5,-,26
ravida,-,polygygnous,2-5,5-6-7,-
querquetulana,-,-,1,-,-
puberula,-,-,1,-,-
propinqua,-,-,1,-,-
propatula,-,-,1,-,-
pressilabris,2000,polygynous,26-50,6-7-8,26
pratensis,60000,monogynous,26-50,4-5-6-7-8-9,26
polyctena,450000,polygynous,26-50,4-5-6,26
picea,-,-,11-25,-,26
perpilosa,-,-,2-5,-,-
pergandei,-,-,1,-,26
pallidefulva,-,monogynous,2-5,-,-
orangea,-,-,2-5,-,-
obtusopilosa,few hundreds,-,2-5,-
obscuriventris,-,monogynous,2-5,6,-
obscuripes,10000 to 100000,polygynous,2-5,4-5,26
occulta (nr. occulta F0131),-,polygynous,2-5,-,-
montana (nr. montana F0117),-,-,2-5,-,267
nevadensis,-,-,1,-,-
nepticula,-,-,1,-,-
neorufibarbis,-,-,2-5,-,-
neogagates,-,polygynous,2-5,8,-
manni,-,-,1,-,-
